1.960784e-02 3.565542e-05
3.921569e-02 3.802103e-05
5.882353e-02 4.202165e-05
7.843137e-02 4.835344e-05
9.803922e-02 5.824349e-05
1.176471e-01 7.393106e-05
1.372549e-01 9.971848e-05
1.568627e-01 1.444415e-04
1.764706e-01 2.278188e-04
1.960784e-01 3.986538e-04
2.156863e-01 7.946711e-04
2.352941e-01 1.877512e-03
2.549020e-01 4.803803e-03
2.745098e-01 9.308168e-03
2.941176e-01 1.567121e-02
3.137255e-01 2.365207e-02
3.333333e-01 3.269311e-02
3.529412e-01 4.203042e-02
3.725490e-01 5.084048e-02
3.921569e-01 5.838018e-02
4.117647e-01 6.408987e-02
4.313725e-01 6.764643e-02
4.509804e-01 6.896815e-02
4.705882e-01 6.818274e-02
4.901961e-01 6.557355e-02
5.098039e-01 6.151837e-02
5.294118e-01 5.643199e-02
5.490196e-01 5.071930e-02
5.686275e-01 4.474214e-02
5.882353e-01 3.879971e-02
6.078431e-01 3.312081e-02
6.274510e-01 2.786500e-02
6.470588e-01 2.312968e-02
6.666667e-01 1.896054e-02
6.862745e-01 1.536303e-02
7.058824e-01 1.231363e-02
7.254902e-01 9.769771e-03
7.450980e-01 7.678016e-03
7.647059e-01 5.980434e-03
7.843137e-01 4.619192e-03
8.039216e-01 3.539649e-03
8.235294e-01 2.692211e-03
8.431373e-01 2.033252e-03
8.627451e-01 1.525355e-03
8.823529e-01 1.137105e-03
9.019608e-01 8.425985e-04
9.215686e-01 6.208148e-04
9.411765e-01 4.549317e-04
9.607843e-01 3.316547e-04
9.803922e-01 1.315926e-04
